Year	Candidate	Party	Won	Raised	isIncumbent	RaisedTop2Total
1980	Carter J	Democrat	0	19828843	1	82773007
1980	Reagan R	Republican	1	62944165	0	82773008
1984	Mondale W	Democrat	0	82879728	0	159356346
1984	Reagan R	Republican	1	76476619	1	159356347
1988	Dukakis M	Democrat	0	90096557	0	181446171
1988	Bush GH	Republican	1	91349615	0	181446172
1992	Clinton W	Democrat	1	115261535	0	217198436
1992	Bush GH	Republican	0	101936902	1	217198437
1996	Clinton W	Democrat	1	123935797	1	268206718.54
1996	Dole R	Republican	0	144270922.54	0	268206719.54
2000	Gore A	Democrat	0	133108037	0	326765764.8
2000	Bush GW	Republican	1	193657728.8	0	326765765.8
2004	Kerry J	Democrat	0	351598273.53	0	729444716.9
2004	Bush GW	Republican	1	377846444.37	1	729444717.9
2008	Obama B	Democrat	1	778642962.27	0	1180180101.62
2008	McCain J	Republican	0	401537140.35	1	1180180102.62
2012	Obama B	Democrat	1	742601914.88	1	1226244811.07
2012	Romney M	Republican	0	483642897.19	0	1226244812.07
2016	Clinton H	Democrat	0	585699061.27	0	936367495.97
2016	Trump D	Republican	1	350668435.7	1	936367496.97
